what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1430394592205
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1430394592205
os,sysinfo,,,"macosx",1430394592207
arch,sysinfo,,,"x86_64",1430394592207
ws,sysinfo,,,"cocoa",1430394592207
locale,sysinfo,,,"en_US",1430394592207
processors,sysinfo,,,"8",1430394592207
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1430394592207
java.runtime.version,sysinfo,,,"1.6.0_65-b14-466.1-11M4716",1430394592207
java.specification.name,sysinfo,,,"Java Platform API Specification",1430394592207
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1430394592207
java.specification.version,sysinfo,,,"1.6",1430394592207
java.vendor,sysinfo,,,"Apple Inc.",1430394592207
java.version,sysinfo,,,"1.6.0_65",1430394592207
java.vm.info,sysinfo,,,"mixed mode",1430394592207
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1430394592207
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1430394592207
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1430394592207
java.vm.specification.version,sysinfo,,,"1.0",1430394592207
java.vm.vendor,sysinfo,,,"Apple Inc.",1430394592207
java.vm.version,sysinfo,,,"20.65-b04-466.1",1430394592207
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430394592300
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430395103299
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1430395103559
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1430395103563
